solver,problem,dim,factor,default,tested,tested_scores,best,best_score,baseline_score
STRONG,NETWORK-1,100,eta_0,0.01,"[0.001, 0.005, 0.01]","[2362.030469964967, 2362.030469964967, 2362.030469964967]",0.001,2362.030469964967,2362.030469964967
STRONG,NETWORK-1,100,eta_1,0.3,"[0.05, 0.15, 0.3]","[2362.030469964967, 2362.030469964967, 2362.030469964967]",0.05,2362.030469964967,2362.030469964967
STRONG,NETWORK-1,100,gamma_1,0.9,"[0.3, 0.45, 0.6]","[2362.030469964967, 2362.030469964967, 2362.030469964967]",0.3,2362.030469964967,2362.030469964967
STRONG,NETWORK-1,100,gamma_2,1.11,"[1.1, 1.33, 1.5]","[2362.030469964967, 2362.030469964967, 2362.030469964967]",1.1,2362.030469964967,2362.030469964967
STRONG,NETWORK-1,100,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, 2362.030469964967, 2362.030469964967]",1.414,2362.030469964967,2362.030469964967
STRONG,ROSENBROCK-1,100,n0,10.0,"[4, 6, 8]","[561.133355951421, 561.133355951421, 561.133355951421]",4.0,561.133355951421,561.133355951421
STRONG,ROSENBROCK-1,100,n_r,10.0,"[4, 6, 8]","[79.92003780745507, 79.92003780745507, 561.133355951421]",4.0,79.92003780745507,561.133355951421
STRONG,ROSENBROCK-1,100,eta_0,0.01,"[0.001, 0.005, 0.01]","[561.133355951421, 561.133355951421, 561.133355951421]",0.001,561.133355951421,561.133355951421
STRONG,ROSENBROCK-1,100,eta_1,0.3,"[0.05, 0.15, 0.3]","[561.133355951421, 561.133355951421, 561.133355951421]",0.05,561.133355951421,561.133355951421
STRONG,ROSENBROCK-1,100,gamma_1,0.9,"[0.3, 0.45, 0.6]","[561.133355951421, 561.133355951421, 561.133355951421]",0.3,561.133355951421,561.133355951421
STRONG,ROSENBROCK-1,100,gamma_2,1.11,"[1.1, 1.33, 1.5]","[561.133355951421, 561.133355951421, 561.133355951421]",1.1,561.133355951421,561.133355951421
STRONG,ROSENBROCK-1,100,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, 3020.2609851422235, 9005.847048241581]",1.414,3020.2609851422235,561.133355951421
STRONG,PARAMESTI-1,100,n0,10.0,"[4, 6, 8]","[-3.9207653572272942, -3.9207653572272942, -3.915895033955804]",4.0,-3.9207653572272942,-3.915895033955804
STRONG,PARAMESTI-1,100,n_r,10.0,"[4, 6, 8]","[-3.9536253705560056, -4.016509404154438, -3.9294550912541055]",6.0,-4.016509404154438,-3.915895033955804
STRONG,PARAMESTI-1,100,eta_0,0.01,"[0.001, 0.005, 0.01]","[-3.915895033955804, -3.915895033955804, -3.915895033955804]",0.001,-3.915895033955804,-3.915895033955804
