dim,budget,cp,power,alpha,exact,within1,mean_regret,median_regret
20,1000,0.2,2.0,1.0,31,32,0.018703902673020804,0.0
20,1000,0.2,3.0,0.0,18,22,0.021035543684247215,0.006842821374769733
20,1000,0.2,3.0,0.25,24,28,0.015471687144692976,0.002287074551722678
20,1000,0.2,3.0,0.5,24,26,0.01378813280505943,0.0019539772225953267
20,1000,0.2,3.0,1.0,22,26,0.021596570989538905,0.005642603041076361
20,5000,0.01,1.0,0.0,49,50,0.0,0.0
20,5000,0.01,1.0,0.25,46,46,0.00017916305086695565,0.0
20,5000,0.01,1.0,0.5,44,45,0.00016244391792232825,0.0
20,5000,0.01,1.0,1.0,43,43,0.00027843753845519436,0.0
20,5000,0.01,1.5,0.0,46,48,3.306448240957778e-05,0.0
20,5000,0.01,1.5,0.25,48,49,6.663973380242736e-05,0.0
20,5000,0.01,1.5,0.5,46,47,0.00024865659922142745,0.0
20,5000,0.01,1.5,1.0,45,48,7.176175729787688e-05,0.0
20,5000,0.01,2.0,0.0,42,43,0.00015928886614554862,0.0
20,5000,0.01,2.0,0.25,45,48,0.00046680452193093307,0.0
20,5000,0.01,2.0,0.5,42,45,0.00019130876298957238,0.0
20,5000,0.01,2.0,1.0,44,45,1.1246200477010165e-06,0.0
20,5000,0.01,3.0,0.0,44,45,0.00022444635491885982,0.0
20,5000,0.01,3.0,0.25,41,43,0.00014063539655808692,0.0
20,5000,0.01,3.0,0.5,44,45,2.0861677336441765e-05,0.0
20,5000,0.01,3.0,1.0,41,43,0.0007316910616586325,0.0
20,5000,0.03,1.0,0.0,46,46,0.00014962024037107815,0.0
20,5000,0.03,1.0,0.25,44,45,0.0003290790925652054,0.0
20,5000,0.03,1.0,0.5,42,47,0.0007230304594093832,0.0
20,5000,0.03,1.0,1.0,44,47,0.0004660838371216296,0.0
20,5000,0.03,1.5,0.0,46,47,0.0005917147991277488,0.0
20,5000,0.03,1.5,0.25,48,48,0.00016884641565188992,0.0
20,5000,0.03,1.5,0.5,45,46,0.00025196872256937763,0.0
20,5000,0.03,1.5,1.0,42,46,0.0002816074433680091,0.0
20,5000,0.03,2.0,0.0,44,44,0.0010315506665655077,0.0
20,5000,0.03,2.0,0.25,48,48,0.00011289450454976362,0.0
20,5000,0.03,2.0,0.5,47,48,8.486587714338322e-05,0.0
20,5000,0.03,2.0,1.0,43,43,0.00014477131171883241,0.0
20,5000,0.03,3.0,0.0,43,44,0.00041842060554940936,0.0
20,5000,0.03,3.0,0.25,45,45,0.00029660169430739143,0.0
20,5000,0.03,3.0,0.5,44,45,0.00036496639122473104,0.0
20,5000,0.03,3.0,1.0,45,47,0.00017776946585526358,0.0
20,5000,0.05,1.0,0.0,48,49,0.00020410625504089182,0.0
20,5000,0.05,1.0,0.25,45,45,0.0005144086506390016,0.0
20,5000,0.05,1.0,0.5,47,48,0.00015291777224551328,0.0
20,5000,0.05,1.0,1.0,49,49,1.9557442872650336e-05,0.0
20,5000,0.05,1.5,0.0,45,45,0.000555857373973554,0.0
20,5000,0.05,1.5,0.25,45,45,0.0007145510993339349,0.0
20,5000,0.05,1.5,0.5,44,46,0.0003250223980914242,0.0
20,5000,0.05,1.5,1.0,47,48,0.0001206780332779201,0.0
