solver,problem,factor,default,tested,tested_scores,best,best_score,baseline_score
RNDSRCH,ROSENBROCK-1,sample_size,10.0,"[4, 8, 16]","[563.8217901893497, 597.3588888085461, 758.9888289432067]",4.0,563.8217901893497,624.4656430692705
RNDSRCH,SSCONT-1,sample_size,10.0,"[4, 8, 16]","[500.5255533237719, 507.06309897798883, 503.36085673486696]",4.0,500.5255533237719,503.55291683750806
RNDSRCH,DYNAMNEWS-1,sample_size,10.0,"[4, 8, 16]","[137.42377321038973, 132.4614459447518, 129.29988227537262]",16.0,129.29988227537262,132.20590717169193
STRONG,SAN-1,n0,10.0,"[4, 6, 8]","[47.785121903024354, 44.15801074253156, 44.15801074253156]",6.0,44.15801074253156,43.571942607221736
STRONG,SAN-1,n_r,10.0,"[4, 6, 8]","[44.445947567710775, 42.33335586254016, 44.066593787390154]",6.0,42.33335586254016,43.571942607221736
STRONG,SAN-1,eta_0,0.01,"[0.001, 0.005, 0.01]","[43.571942607221736, 43.571942607221736, 43.571942607221736]",0.001,43.571942607221736,43.571942607221736
STRONG,SAN-1,eta_1,0.3,"[0.05, 0.15, 0.3]","[43.571942607221736, 43.571942607221736, 43.571942607221736]",0.05,43.571942607221736,43.571942607221736
STRONG,SAN-1,gamma_1,0.9,"[0.3, 0.45, 0.6]","[43.571942607221736, 43.571942607221736, 43.571942607221736]",0.3,43.571942607221736,43.571942607221736
STRONG,SAN-1,gamma_2,1.11,"[1.1, 1.33, 1.5]","[43.571942607221736, 43.571942607221736, 43.571942607221736]",1.1,43.571942607221736,43.571942607221736
STRONG,SAN-1,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, 46.46574150340935, 46.13539036283141]",2.0,46.13539036283141,43.571942607221736
STRONG,NETWORK-1,n0,10.0,"[4, 6, 8]","[70.97861219924089, 70.97861219924089, 70.97861219924089]",4.0,70.97861219924089,70.97861219924089
STRONG,NETWORK-1,n_r,10.0,"[4, 6, 8]","[70.62756082904286, 70.61574198750029, 70.8158661329705]",6.0,70.61574198750029,70.97861219924089
STRONG,NETWORK-1,eta_0,0.01,"[0.001, 0.005, 0.01]","[70.97861219924089, 70.97861219924089, 70.97861219924089]",0.001,70.97861219924089,70.97861219924089
STRONG,NETWORK-1,eta_1,0.3,"[0.05, 0.15, 0.3]","[70.97861219924089, 70.97861219924089, 70.97861219924089]",0.05,70.97861219924089,70.97861219924089
STRONG,NETWORK-1,gamma_1,0.9,"[0.3, 0.45, 0.6]","[70.97861219924089, 70.97861219924089, 70.97861219924089]",0.3,70.97861219924089,70.97861219924089
STRONG,NETWORK-1,gamma_2,1.11,"[1.1, 1.33, 1.5]","[70.97861219924089, 70.97861219924089, 70.97861219924089]",1.1,70.97861219924089,70.97861219924089
STRONG,NETWORK-1,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, 70.97861219924089, 70.97861219924089]",1.414,70.97861219924089,70.97861219924089
STRONG,ROSENBROCK-1,n0,10.0,"[4, 6, 8]","[120.31964988266992, 120.31964988266992, 120.31964988266992]",4.0,120.31964988266992,120.31964988266992
STRONG,ROSENBROCK-1,n_r,10.0,"[4, 6, 8]","[120.31964988266994, 120.31964988266992, 120.3196498826699]",8.0,120.3196498826699,120.31964988266992
STRONG,ROSENBROCK-1,eta_0,0.01,"[0.001, 0.005, 0.01]","[120.31964988266992, 120.31964988266992, 120.31964988266992]",0.001,120.31964988266992,120.31964988266992
STRONG,ROSENBROCK-1,eta_1,0.3,"[0.05, 0.15, 0.3]","[120.31964988266992, 120.31964988266992, 120.31964988266992]",0.05,120.31964988266992,120.31964988266992
STRONG,ROSENBROCK-1,gamma_1,0.9,"[0.3, 0.45, 0.6]","[120.31964988266992, 120.31964988266992, 120.31964988266992]",0.3,120.31964988266992,120.31964988266992
STRONG,ROSENBROCK-1,gamma_2,1.11,"[1.1, 1.33, 1.5]","[120.31964988266992, 120.31964988266992, 120.31964988266992]",1.1,120.31964988266992,120.31964988266992
STRONG,ROSENBROCK-1,lambda_2,1.01,"[1.0, 1.414, 2.0]","[inf, 120.31964988266992, 120.31964988266989]",2.0,120.31964988266989,120.31964988266992
STRONG,SSCONT-1,n0,10.0,"[4, 6, 8]","[610.780366461795, 610.5167034198262, 610.4888615261609]",8.0,610.4888615261609,612.1444739001982
STRONG,SSCONT-1,n_r,10.0,"[4, 6, 8]","[613.6111182862273, 613.9715973934605, 612.1017470110585]",8.0,612.1017470110585,612.1444739001982
STRONG,SSCONT-1,eta_0,0.01,"[0.001, 0.005, 0.01]","[612.1444739001982, 612.1444739001982, 612.1444739001982]",0.001,612.1444739001982,612.1444739001982
STRONG,SSCONT-1,eta_1,0.3,"[0.05, 0.15, 0.3]","[612.1444739001982, 612.1444739001982, 612.1444739001982]",0.05,612.1444739001982,612.1444739001982
